gene	logFC	logCPM	PValue	FDR
Cyp1b1	1.35779640662199	5.74246539413992	1.96316452526605e-14	2.43377359136954e-12
Btbd18	4.47184458106034	-0.299811878535184	2.41031566445144e-14	2.96044789712485e-12
Nfkb2	1.2104949656331	6.55522225510488	2.48002692149195e-14	3.01812450583401e-12
Slc26a7	-1.97453346191433	3.79450008517751	2.55208528917602e-14	3.07758285099272e-12
Lif	1.95222119602138	4.27645604720207	2.86300867127609e-14	3.41107807495234e-12
Ddias	3.45342973138622	1.68564325847531	2.89885033369683e-14	3.41107807495234e-12
Adcy1	-1.42764570328938	8.39350212406676	2.90578079509698e-14	3.41107807495234e-12
Cdsn	3.74598270406852	1.12529679424247	3.27350507532463e-14	3.80903901966502e-12
Ankrd1	2.00888284438402	4.95499022783962	4.34541184877261e-14	5.01233810208424e-12
Sesn2	1.86411736920619	4.98191723229968	4.66743164764744e-14	5.33736903500373e-12
Ephb1	-1.73721080092129	6.6050489110289	4.9829998095705e-14	5.64952927127801e-12
Tmem150c	-1.51756984353693	7.56549079747166	5.85536247181321e-14	6.58232060920358e-12
Gja3	-2.06967360641463	4.23625587734216	6.11256672091167e-14	6.81371408007507e-12
H2-K1	1.64236859159749	8.97874827922238	7.64058156228151e-14	8.44602620197202e-12
Cxadr	1.26786343780073	6.44954345323658	9.01476414504261e-14	9.84500268423773e-12
Vim	1.17915210794804	10.327149097659	9.05458218980025e-14	9.84500268423773e-12
Stx11	2.03428922298276	4.16291225708444	9.39828715455352e-14	1.01356324475734e-11
Vash1	-1.31205687962181	7.38564310707978	9.9795388370447e-14	1.06756921510805e-11
2200002D01Rik	2.34512047250678	2.88173796492231	1.03357914010343e-13	1.09683418347777e-11
Marveld1	-1.17849087944263	8.69835379973827	1.13283089740812e-13	1.19261919477132e-11
Fzd2	-1.27810654259258	6.70795311822791	1.2012162194353e-13	1.25465615360703e-11
Tnfsf15	2.31746540537482	3.25809985744068	1.42372282325261e-13	1.47544400394108e-11
Flrt1	-1.5079259742907	4.97189949346245	1.51529644224098e-13	1.55817110901756e-11
Nrg1	3.07979608541361	3.16684088324662	1.60889900600907e-13	1.64169579343926e-11
Armcx4	1.24331854579221	7.84319022705682	1.87691921043195e-13	1.90055979590685e-11
Tnfaip3	1.87817236823195	5.77814748323328	1.95965974749597e-13	1.96930958716167e-11
Pth1r	-1.43611173500365	8.83440201012796	2.00593630520516e-13	2.00065752545462e-11
Chst1	-1.23054849977893	7.97676739972584	2.21868526886291e-13	2.19633284264676e-11
Fer1l6	4.69863032414287	-0.384478154643176	2.28541107115773e-13	2.24562798954869e-11
Slco1a5	4.02058000316924	0.0025929402734101	2.61808678317367e-13	2.55359714549991e-11
Lpar1	3.36750034332589	1.7574700087162	3.19740927227339e-13	3.09588569319026e-11
Prss23	2.22420314654225	5.35210219014573	3.87812068515699e-13	3.72777325279765e-11
Stmn1	-1.36873556841217	5.46530512323825	4.24918678836302e-13	4.05506926241982e-11
Mt2	3.32214144867884	4.18190128279678	4.59513300540162e-13	4.35388852261803e-11
Myom2	-1.31791482991867	9.75209439110453	5.98382770998103e-13	5.62946628176584e-11
Kcna6	-4.01498540688324	1.54020744524806	7.25300152409182e-13	6.73148918367079e-11
Irf1	1.1751262401809	6.75824831099211	7.25671280260024e-13	6.73148918367079e-11
Ctps	1.59058639483472	5.24612359970046	8.23723031106228e-13	7.58797639418342e-11
