gene	logFC	logCPM	PValue	FDR
P2rx5	2.42017746611752	1.62386094038986	7.55690763452716e-07	0.000163829115668833
Hsph1	-1.94502472922701	8.11067625363056	7.6205305510298e-07	0.000163829115668833
Serpina3i	2.27956351912987	2.36255496668202	1.05409797294177e-06	0.000223017013989536
Cyp24a1	2.54508649777289	4.80672796573361	1.09511160358365e-06	0.000228074102565101
Shisal1	-1.72098359571124	4.32900123540207	1.26924352726248e-06	0.000260273030382794
Aldh1a7	1.93257504455926	1.82517568705291	1.29937683931447e-06	0.000260620866608315
Adamts16	-1.17473399987588	5.23482697027591	1.31004561953313e-06	0.000260620866608315
Ptpn7	2.70404877742887	0.475003945696931	1.42147080660908e-06	0.000278373886025824
Gm27252	1.81772106523385	1.70947382369381	1.44105320247444e-06	0.000278373886025824
Col1a2	-1.24075532694573	8.28846514828413	1.86842302938097e-06	0.000355774436551699
Irf7	1.46046406002572	4.98274069395942	1.91994801833758e-06	0.000360436438541149
Ahsa2	-1.41953415908626	5.19179683692417	1.96119065744208e-06	0.000363065420458964
Tgfbi	-1.48302665237409	3.34266068359155	2.00784428505761e-06	0.000366610362678532
Serpina3g	2.29351705177263	4.55869283223509	2.04234635706332e-06	0.000367870737747257
H19	-1.51710861985904	2.5779595046797	2.38057625930074e-06	0.000423076012802928
Gm15889	2.34818874207787	2.44922650538879	2.93259236238417e-06	0.000514322678923928
Col15a1	-1.07029326124334	6.70883690141999	3.8282357412226e-06	0.000662682522009819
Mybl1	1.41196172918688	3.47972716514133	4.85751459753499e-06	0.000830074513724921
Fabp4	1.17443330275458	6.49001540415727	5.68446615990579e-06	0.000959091765131447
Olfml2b	-0.994699011463113	5.8559759739018	6.03911522974049e-06	0.00100619208621514
Ifit3	1.22295238042833	4.62427056797763	6.31512959094896e-06	0.00102819039326431
Sema3g	-1.38196886300956	11.091952363605	6.32542668224724e-06	0.00102819039326431
Fkbp5	1.48419654755391	6.5723211380293	7.45111886746156e-06	0.00119657787210115
Sesn2	1.36690011223352	4.77613154462217	9.83241359734399e-06	0.00156019334332141
Sema7a	1.03759438308427	7.66321329096525	1.00642026977822e-05	0.00156765714072228
Zmat3	1.03912485516921	5.65784784544534	1.01146758273026e-05	0.00156765714072228
Kynu	1.940326339804	1.53619913895668	1.0434265379639e-05	0.00159860141661159
Jchain	-3.49653885401767	-0.103282168424501	1.09548794321897e-05	0.00165929077217791
Creb3l3	2.35817116454351	0.0465569274736316	1.2114003183893e-05	0.00181424211728213
Mt1	1.27406802979038	5.19684606785662	1.26214768129135e-05	0.00186346640780245
Ly6a	1.19508124453161	7.60169922073175	1.27222929784697e-05	0.00186346640780245
Dnaja1	-1.36447327601609	8.79118122731365	1.35090605208847e-05	0.00195719856177035
Cebpb	1.05229102427328	6.73523074950766	1.59628532080576e-05	0.00227527335372781
Cdkn1c	1.0131689395036	10.673784696863	1.61312694742277e-05	0.00227527335372781
Adamts8	2.06969076312108	0.156755594321545	1.63639768821006e-05	0.00227527335372781
Qrfpr	2.26609225600486	0.175815686314111	1.63872940173959e-05	0.00227527335372781
Trp53inp1	1.0623037643365	7.14072896337063	1.67054823582066e-05	0.00229553994177872
Opcml	-1.82380321710759	3.9287143463207	1.86618034835793e-05	0.00253819570033294
Spink8	1.35393065560472	3.38556150271571	2.04445439817521e-05	0.0027525790579068
Dglucy	1.25246615571807	5.07360190293147	2.57364892465698e-05	0.00343041665167529
Tlr7	-1.15014345805061	4.19180618312156	2.66140810176049e-05	0.0035122681770659
Mir6236	1.21174663795643	6.00943405536441	2.77792686251577e-05	0.00361348605580161
Mapkapk3	1.24192955675249	3.49447272809547	2.79232548388901e-05	0.00361348605580161
Gpr68	2.73324754697316	-0.106220870131819	3.23977053091899e-05	0.00415220205832877
Ifi202b	1.56642318606387	2.68545037577275	3.29898575854682e-05	0.00418782677863529
Cyp4a31	1.62548349748358	3.24748606417188	3.46298756745542e-05	0.00435454351760503
Ly6e	1.00878012282192	6.97270514776244	3.58551371462103e-05	0.00443696180470001
Dnaja4	-1.00599237321896	5.77314036876669	3.59510747173532e-05	0.00443696180470001
Tent5b	2.32350886001429	1.32411394964422	3.63562743106367e-05	0.00444580532372915
Tap1	1.5306920113775	5.09460652966238	3.73164465849106e-05	0.00452173560482066
Ano3	2.32965158160718	0.734731093803313	3.77231372672148e-05	0.00452983510481718
Dnajb1	-1.29878379212331	6.88701297215962	3.89865006435029e-05	0.00463974167033259
Gda	1.27582754221494	4.91416541374807	4.32704736371379e-05	0.00510400126645496
Adm	1.04110218085344	6.55346874679385	4.44232428777699e-05	0.00517059791125458
Igfbp1	2.01790434257122	0.781145367627788	4.46109055288676e-05	0.00517059791125458
Ccdc71l	0.974780276751155	6.67524168671971	4.72537756534851e-05	0.00540908821212379
Serpina3f	2.63419061606938	1.49855730173829	4.74801801199252e-05	0.00540908821212379
Cebpd	1.03445729575096	4.66490534459947	5.69741270748263e-05	0.00643566220152848
Gpr182	0.907872771872167	5.87891974544605	6.68764634970255e-05	0.00749072589875507
Egr3	1.9633923642489	1.95955133893725	6.86418335886905e-05	0.0076243916658638
