gene	baseMean	log2FC_interaction	lfcSE	stat	pvalue	padj
Pgrmc2	5153.96977298139	0.0897997938006952	0.124847529630604	0.719275696254403	0.471971067464444	0.867643299565701
Faim	772.447566326623	0.152214017145754	0.211629461278584	0.719247765533851	0.471988273618378	0.867643299565701
5031425F14Rik	2.56388782551459	2.53849643172026	3.52982944691515	0.719155548418564	0.472045084556571	NA
Pop1	280.082582165801	0.22432748669654	0.31199359761098	0.719013109289025	0.472132842489171	0.867643299565701
Cst3	16709.3731084945	0.134560360580155	0.187148227081562	0.719004196184621	0.472138334225764	0.867643299565701
Rnf43	57.7302910545855	-0.373520450877707	0.519518521478299	-0.718974272206595	0.472156771898219	0.867643299565701
Nsmce3	959.419447955262	0.172798820051514	0.240379684941794	0.718857835650113	0.472228518109292	0.867660780110668
Ucn	2.21609041507105	-2.57414866307067	3.58156174959906	-0.718722401856908	0.472311977647283	NA
Ces3a	2.3022806099395	2.13810203181427	2.9749531463065	0.718701077517403	0.472325119269806	NA
4933405D12Rik	4.88297480487517	-1.44011781549919	2.00421383777875	-0.718544991733644	0.472421316913728	NA
Tmsb4x	79890.6355918787	0.205854680774345	0.286523988959847	0.718455308128468	0.472476594935481	0.867878866426923
Tead4	1054.6947967045	0.194825848476798	0.271229146904363	0.718307197808259	0.472567893059277	0.867878866426923
Sct	2.5214517446521	2.54679215425429	3.54563191909844	0.718290057277538	0.472578459447754	NA
Exog	364.905081097596	-0.254320418752086	0.354064002436964	-0.718289396836846	0.472578866583195	0.867878866426923
Kalrn	2570.14872301174	-0.253934283377508	0.353585828626362	-0.718168724023842	0.472653259818455	0.867878866426923
Cfap20dc	30.4736046063201	0.843487083742691	1.17457643768741	0.718120214809869	0.47268316694107	NA
Arhgef37	349.299718990065	0.264066402700057	0.367874181744465	0.717817166314444	0.472870027369995	0.867878866426923
Vamp4	3232.89423957136	-0.178933400111956	0.249274938067758	-0.717815443056369	0.472871090051306	0.867878866426923
Usp22	4078.26917042675	-0.144004650461114	0.200634086243217	-0.717747682647232	0.472912876895159	0.867878866426923
Klhdc3	2477.96908239771	0.126866649071809	0.176781527869374	0.717646524503127	0.472975263410792	0.867878866426923
Nrsn1	3.11748668169375	2.20695396280306	3.07531484551574	0.717635128000349	0.472982292175718	NA
Gm14403	790.083423967001	0.252089519660911	0.351283082527627	0.717624993059793	0.472988542923552	0.867878866426923
Rps15	13188.7471264111	0.144170967487373	0.200915981393209	0.717568440736521	0.473023422533227	0.867878866426923
Map3k21	267.202583116456	-0.229183456512962	0.31940681813571	-0.717528379170622	0.473048132043611	0.867878866426923
Stk38l	1474.4908539087	-0.157112890846311	0.218986805403862	-0.717453686565996	0.473094203474725	0.867878866426923
Col2a1	22.2459387106514	0.622517547660508	0.867826392201881	0.717329587178184	0.473170755151478	NA
Slc36a2	2.29373469208329	-2.39556850058356	3.33960628266734	-0.717320635374484	0.473176277405049	NA
Zfp451	1627.22994035439	-0.178730602180391	0.249197180563608	-0.71722561939167	0.47323489373906	0.867888807270723
Osbp2	154.429749563314	0.584512723135257	0.815039308935134	0.717158935437034	0.47327603413999	0.867888807270723
Capn2	16855.5889366648	0.132650006973598	0.184995500396768	0.717044504807403	0.473346636247341	0.867888807270723
Mir3060	33.132153662719	-0.612392931455432	0.854057396123314	-0.71703955054446	0.473349693089532	NA
Clec1a	3739.90567462609	-0.167190593408048	0.233179482794635	-0.717003877889615	0.473371703884261	0.867888807270723
Galnt4	1577.18696210821	-0.116433001366194	0.162404957361198	-0.716930094118005	0.473417231843604	0.867888807270723
2010016I18Rik	4.39542589547207	-1.25237272903221	1.74693243265435	-0.716898207178687	0.473436908287871	NA
Arap2	6574.24240717052	-0.153827671504263	0.214591504399219	-0.71683952230507	0.47347312208443	0.867888807270723
2900057B20Rik	20.0358214079728	0.75006686543396	1.04640044895327	0.716806712176261	0.47349336952167	NA
Slc24a3	410.588794422441	0.188396473524094	0.262867220519648	0.716698237047828	0.473560313927275	0.86791207457979
Katnb1	976.877967427447	-0.173715914144206	0.242411025395182	-0.71661721599095	0.473610318706286	0.86791207457979
Dscc1	10.8539825739473	-0.941123152225097	1.31328939545704	-0.716615207189405	0.473611558540346	NA
Odf1	3.23796382314634	-1.97747572703328	2.76061625793835	-0.716316772150748	0.47379577273309	NA
5830428M24Rik	11.6607335868002	1.22391820086847	1.70916715849806	0.716090403904083	0.4739355287184	NA
Khdc3	1.26258097740295	-3.13942892759783	4.38462835879333	-0.716007987610109	0.473986416791792	NA
Gm32261	14.0816990378614	1.15453283930621	1.61331527021909	0.715627540765436	0.474221363232801	NA
Asb11	24.1433216935282	-0.714771326186982	0.998960393999614	-0.715515180061541	0.474290764264129	NA
Yipf7	0.935267656514573	3.16014144259481	4.41668466528351	0.715500807072437	0.474299642327917	NA
Car5a	2.4904113533362	1.96601537828573	2.74797946021966	0.715440346897125	0.47433698902451	NA
Gm14164	5.09077110461701	1.45703556442771	2.03688931363887	0.715323878755462	0.474408936808739	NA
Ppp1r16a	2031.52735987253	-0.168835152026066	0.236028920580433	-0.715315528329635	0.474414095485181	0.869268935970413
9530062K07Rik	10.5072705620965	-0.873571460826329	1.22124425595378	-0.715312646563138	0.474415875772914	NA
Mideas	3840.41371574651	-0.153555837084771	0.214698479257923	-0.71521623076007	0.474475441309342	0.869268935970413
Tom1	1475.43009091442	-0.12367291221694	0.172973367213204	-0.714982394165355	0.474619922263126	0.869419387228025
Igfbpl1	1.02859539244134	4.48599653741679	6.27581940981366	0.714806504852884	0.474728615165944	NA
1700003F12Rik	25.7685806162833	-0.823877464992062	1.15291502803903	-0.714603804231244	0.474853893387677	NA
Nbl1	5608.79480767433	0.192784450007444	0.269858617468735	0.714390564273084	0.474985704987504	0.869552773271826
Abca17	8.63878247439397	-1.04569469487739	1.46385970789201	-0.71434078637441	0.47501647746098	NA
Spock2	250.655258853422	-0.463772001465521	0.649232990879527	-0.714338316106274	0.47501800459815	0.869552773271826
Inf2	15712.0609557391	-0.166995536395235	0.233813112759176	-0.714226565073953	0.475087092692215	0.869552773271826
Ube2d-ps	415.518228819805	0.201842466561883	0.282606287559666	0.714217890567168	0.475092455782858	0.869552773271826
Pou3f1	28.1766889633904	-0.864218245669617	1.21003824502153	-0.714207380820631	0.475098953571247	NA
Cfap299	5.02512934324083	1.43163130623601	2.00459787403369	0.714173812503981	0.475119707949165	NA
Ncapd2	401.346033192381	-0.25572222604753	0.358091134680632	-0.71412610165733	0.475149207125197	0.869552773271826
Scaf11	7072.03495929886	-0.115726402011971	0.162053908509071	-0.714122868597728	0.475151206132465	0.869552773271826
Lpcat3	2236.96647242244	0.204818043350082	0.286865980324221	0.713985126847712	0.475236376420956	0.869552773271826
Rpl29	1029.25107200612	0.163864306035146	0.229512698877364	0.713966185037562	0.47524808942504	0.869552773271826
Gm19774	67.9068302728603	0.330068564437627	0.46241563370791	0.713791966311671	0.475355828090934	0.869552773271826
H2-Q10	532.310458126632	0.380060922768724	0.532528118070312	0.713691746730532	0.47541781098956	0.869552773271826
Cacng4	25.2429186645957	0.566932110113388	0.794384318288591	0.71367485115363	0.475428260849628	NA
Xpot	4289.67172312181	-0.0968425019212711	0.135710468123614	-0.713596403138633	0.475476782345768	0.869552773271826
4930429D17Rik	1.64165008055471	2.94812448465188	4.13161840589479	0.713551977705791	0.475504261472868	NA
Gm13498	41.1924359201407	-0.445186227525255	0.623913315935281	-0.713538589664328	0.475512542749108	0.869552773271826
Sh3bp2	871.91905533726	0.205171560839247	0.28755726643031	0.71349809165393	0.475537593587182	0.869552773271826
Glis3	1778.3106511157	-0.273313577675026	0.383172976958893	-0.71329032606688	0.4756661224454	0.869552773271826
Garnl3	176.668300611115	0.342215468986552	0.479778120103185	0.713278606604553	0.475673372958138	0.869552773271826
Nkain2	202.594446210109	-0.45166768841815	0.633333975228399	-0.713158785229018	0.475747506663314	0.869552773271826
Rrbp1	17019.4924916193	0.168960027629797	0.236920782417372	0.713149880334887	0.475753016390582	0.869552773271826
Snora34	4.09571846624342	-1.22531173670919	1.71838302044013	-0.71306089628106	0.47580807543713	NA
Lpin2	15462.466778468	-0.205007363244499	0.287537831728549	-0.712975270113453	0.47586106008382	0.869636243241398
Myl7	9.03985471579126	-0.960370612758439	1.34701842126719	-0.712960266612375	0.475870344438649	NA
C7	6.30776071535175	-1.56835204436267	2.20011586516317	-0.712849749959127	0.475938736591211	NA
1700066B17Rik	2.21310238702888	-2.68949051861348	3.77299618258916	-0.712826196597914	0.475953313055547	NA
Nab1	7489.15712018897	0.103360595732047	0.145015056412791	0.712757683849237	0.475995714919069	0.869768316828526
Spaca7	1.05332055549765	3.25340151428827	4.56565370750537	0.712581751204671	0.476104607380629	NA
Gm7160	33.0292352888363	0.466311643021199	0.654425662650153	0.712550973525137	0.476123658445024	NA
Map1lc3b	9588.22812667737	-0.111861633887201	0.157032023543304	-0.712349184345536	0.476248574203272	0.869866594780969
4933406J10Rik	1.74417192944619	-2.51719297485622	3.53392641930449	-0.712293544400289	0.476283020764292	NA
Cpne6	10.4260373095755	0.881067060458094	1.23733400248341	0.712068898688416	0.476422112286201	NA
Atxn2	2975.72783027972	-0.153541594933601	0.215631008264772	-0.712057120954829	0.476429405195499	0.869866594780969
Uvssa	1372.03040245856	-0.182160062114332	0.255833529336395	-0.712025755915715	0.476448827089975	0.869866594780969
Sfn	110.380575143166	0.233254838331018	0.32763771680481	0.711929141143354	0.476508655722795	0.869866594780969
Poln	75.681284932971	0.667587856051408	0.93774624795632	0.711906720508152	0.476522540274396	0.869866594780969
Gmeb1	1294.04459996967	-0.161159172889054	0.226380631295283	-0.711894705686389	0.476529980851169	0.869866594780969
Htr1d	3.20825255452454	2.2987232519849	3.22933275350069	0.71182607289169	0.476572485205167	NA
Spry4	6397.4846974549	-0.179741281135673	0.25252708764421	-0.7117703008119	0.476607026435751	0.869866594780969
Ldlrad2	7.067525344799	1.26685708493304	1.77990086284154	0.711757104780858	0.476615199312587	NA
