gene	logFC	logCPM	PValue	FDR
Mcam	0.890412431832971	7.87251476804308	8.3063324687551e-05	0.0078085333830402
Ccl2	2.06491171609635	0.101555647898022	8.59020468466479e-05	0.00790884404543288
Pigr	-1.85345079359841	4.45435388156782	8.62477897017593e-05	0.00790884404543288
Unc13c	2.0382019214602	1.92177432628949	8.63427320111562e-05	0.00790884404543288
Adamts9	1.42062918300687	6.38935454060726	8.64836773546555e-05	0.00790884404543288
Cltrn	-2.08379179070875	7.8096250005984	8.74990493141686e-05	0.00794763324277276
Dpep1	-1.86313268627027	4.8952745590926	8.89767011776206e-05	0.00795752892295401
Wif1	-1.19349879423477	5.09565703936204	8.96632558831593e-05	0.00795752892295401
Lrp8	1.89053101797614	1.28303646542384	9.02007104789123e-05	0.00795752892295401
Wdr66	1.24780513627007	3.34312601609667	9.0900103872313e-05	0.00795752892295401
Epcam	-2.00622847649172	3.5053004988209	9.11192644916125e-05	0.00795752892295401
Fn3k	-1.84743859363367	2.38095972238917	9.11596707680515e-05	0.00795752892295401
Car4	-2.19735317526332	3.56683996363243	9.23940786713551e-05	0.00801324902954211
Ccdc158	1.28220564938156	2.73374904921887	9.50231084529872e-05	0.00818843363418915
Cdh16	-1.46521622991138	7.14600637063425	9.70717880543346e-05	0.00831169456569694
Acsm1	-1.84776829709917	5.52722900094026	9.86892137352198e-05	0.00839670316609216
