gene	logFC	logCPM	PValue	FDR
2900052L18Rik	1.3420671764896	4.35441283188284	5.30173654758857e-07	7.96224434237847e-05
Exoc4	0.927742924210803	6.33127762811346	5.45309777249388e-07	8.09754383834597e-05
Ahsa2	-1.5363075652523	5.29155781668687	5.69815295235955e-07	8.36742104648708e-05
Prrg4	2.1403077333305	1.82671053658409	5.99327321498613e-07	8.70407679222602e-05
Kirrel2	1.01616621586505	5.42303519322843	6.37616588783608e-07	9.15950091017843e-05
Serpina3f	3.01969042915471	1.58794830396233	6.55806287968686e-07	9.25425532237822e-05
Top1mt	-1.40818617302593	6.9534310175175	6.58217312578354e-07	9.25425532237822e-05
Tgfbi	-1.58722766114629	3.45152752550907	7.59826467859639e-07	0.000105703858939295
Dnaja4	-1.1177528048555	5.83784974700146	8.21276677568483e-07	0.000113062422611928
Cdkn1c	0.98179165323169	10.5528858525954	1.00127331750648e-06	0.000136420908908924
Col15a1	-0.987525193474742	6.82473600260436	1.07547490383978e-06	0.000145035472746393
P2rx5	2.46650921117077	1.4520976791727	1.16965875916251e-06	0.000156143536980724
Adamts8	2.28916426059074	0.134454334424117	1.26064523265e-06	0.000166606873947024
Gbp2	1.63952597244821	5.08749113043017	1.33889233936719e-06	0.000174825738676407
Col1a2	-1.11631475178248	8.42384370833405	1.34929065867081e-06	0.000174825738676407
Jchain	-4.62970585986419	0.0711326437232994	1.37995182715462e-06	0.000177062556773548
Stip1	-1.29427536552061	7.99671270226263	1.42673085577483e-06	0.000181304567210771
Gbp3	1.48397415387209	4.85720139738057	1.51517617820099e-06	0.000190710174962898
Adamts16	-1.0780012339598	5.36261559033334	1.54575975199991e-06	0.000192724159268216
H19	-1.60770925186215	2.69233303088961	1.57816600690146e-06	0.000194925625674857
Galnt15	2.06293330513617	1.4537528755376	1.68138617814308e-06	0.00020575184935499
Gbp2b	1.60887924405136	4.93553739065994	1.74611248368015e-06	0.000211712133801072
Adamtsl4	1.02129135428533	4.97168058728987	1.78189115819325e-06	0.000214086123151655
Osmr	0.90700453980631	5.83233888804031	1.88268647241756e-06	0.000222285318975191
Fabp4	1.1525566085058	6.36244174756444	1.88377388962026e-06	0.000222285318975191
Slc4a8	1.20245696946573	3.86137546046354	1.97443076792582e-06	0.00023092103565405
Sele	2.51234115527895	1.75968671967308	2.03275899121309e-06	0.000235657393226949
Cxadr	0.966458944469216	6.32382660815702	2.17662946813059e-06	0.000250142043920121
Calca	-1.41509409602964	3.86678608503542	2.22302711416913e-06	0.000253271778800511
Arl4c	1.09805343313035	6.36517292946947	2.27677039417495e-06	0.000257177756661677
Fkbp5	1.5688197929303	6.48981753626898	2.44037390222699e-06	0.000273321877049423
Tgtp1	2.28257299400699	2.51689651912501	2.93702128353069e-06	0.000326182128429762
