pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_PLATELET_HOMEOSTASIS	0.264615384615385	0.579088121735181	0.149207542435322	-0.260393707843208	-1.09798767736764	74	P2rx1;Itpr3;Gng11;Calm3;Calm2;Ptpn6;Gnas;Gng4;Gng5;Gng10;Mapk14;Trpc6;Gng8;Prkg1;Ptpn11;Atp2a3;Calm1;Gng12;Ppp2r5a
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.264890282131661	0.579088121735181	0.101350743797099	0.347646786429283	1.14495081997888	36	Dsp;Vim;Casp7;Dsg3;Sptan1;Lmna;Pkp1;Tjp1;Satb1;Gsn;Add1;Plec;Tjp2;Dsg2;Birc2;Casp8
REACTOME_MITOTIC_G2_G2_M_PHASES	0.26530612244898	0.579088121735181	0.173747838999571	-0.218632306373769	-1.07101678077269	172	Optn;Hsp90ab1;E2f3;Cdk11b;Skp1;Hsp90aa1;Cetn2;Dynll1;Tubb2a;Tuba1c;E2f1;Ssna1;Tubb2b;Cep78;Cdc25a;Xpo1;Tuba1b;Tubb4a;Prkaca;Rbx1;Ppp1cb;Rps27a;Ywhag;Psmd6;Ywhae;Tuba4a;Ubb;Lcmt1;Hmmr;Dctn3;Psmc5;Cep63;Cdk5rap2;Psma1;Psmb1;Tubb1;Uba52;Fzr1;Phlda1;Nde1;Psma4;Psmc4;Mzt1;Psmb7;Cdk1;Cep43;Tubb4b;Psmd7;Rab8a;Pkmyt1;Psmb6;Tuba8;Haus8;Fbxl7;Ccnb1
REACTOME_MUSCLE_CONTRACTION	0.265873015873016	0.579088121735181	0.170932335370056	-0.224382505371076	-1.08476430007717	155	Tpm2;Pak1;Myl3;Kcnj12;Acta2;Itpr3;Cacna2d2;Atp1b3;Myl9;Calm3;Calm2;Vcl;Trpc1;Fxyd6;Dmpk;Kcnk10;Kcnj2;Pln;Tpm4;Kcnk6;Prkaca;Mylk;Kcnd2;Myl6;Myl2;Myl6b;Kcnk3;Atp2a3;Calm1;Kcnh2;Kcnip2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	0.266514806378132	0.579088121735181	0.12563992130984	-0.599720439756702	-1.19743315742653	5	Eef1g;Eef1d;Eef1b2
REACTOME_PDH_COMPLEX_SYNTHESIZES_ACETYL_COA_FROM_PYR	0.266514806378132	0.579088121735181	0.12563992130984	-0.59937294190053	-1.19673932505476	5	Pdhb;Dld;Dlat;Pdhx
REACTOME_SIGNALLING_TO_RAS	0.266891891891892	0.579088121735181	0.105520936843198	0.474537257044314	1.16471732658966	12	Mapkapk3;Shc2;Shc1
REACTOME_VITAMINS	0.267482517482518	0.579125446797139	0.107554375265169	0.574657234412823	1.17431708340007	6	Cyp26a1;Cyp24a1;Cyp2r1;Cyp27b1;Cyp26b1
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	0.267806267806268	0.579125446797139	0.142056643575821	-0.28282039893948	-1.12167691903397	56	Egln1;Vhl;Eloc;Ube2d2a;Rbx1;Rps27a;Psmd6;Ubb;Ube2d3;Psmc5;Psma1;Psmb1;Ube2d1;Uba52;Psma4;Egln2;Psmc4;Psmb7;Psmd7;Psmb6;Elob;Psma5;Ubc;Psmc2;Hif1an
REACTOME_CASP4_MEDIATED_SUBSTRATE_CLEAVAGE	0.269982238010657	0.582854630889228	0.107972360317345	0.618624626434272	1.20420192629325	5	Casp4;Gsdmd
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	0.270642201834862	0.583303977577308	0.0985499803531691	0.31302257751285	1.12083081231578	54	H4c8;Mutyh;Mpg;H4c17;H4c2;H4c12;Tdg;H3f4;H2aj;H2bc8;H2ac13;Neil2;H4c4;H2bc13;H2ac10;H2ac4;Mbd4;H4c6
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE	0.272076372315036	0.585417661097852	0.127505315300183	-0.526476574363236	-1.17082364582225	7	Zfp420;Steap3;Prelid1;Bnip3l
REACTOME_TRANSPORT_OF_RCBL_WITHIN_THE_BODY	0.272727272727273	0.58573484777371	0.105125131597001	0.55073364916558	1.1803393614281	7	Ldlrap1;Gm19410;Abcc1;Lmbrd1;Tcn2
REACTOME_HEME_SIGNALING	0.27317880794702	0.58573484777371	0.102821842840815	0.489827614055514	1.17284925535903	10	Clec1b;Apob;Pgrmc2;Bach1;Tlr4
REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY	0.273584905660377	0.58573484777371	0.0995791200495904	0.353192891773385	1.14133953144259	33	Birc3;Tnfaip3;Rnf31;Tab1;Map3k7;Tab3;Tnfrsf1a;Usp4;Birc2;Spata2;Ripk1
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	0.275184275184275	0.587487471342496	0.128788713061714	-0.395158608185478	-1.13997865960064	15	Mgat4a;B4galt5;St6gal1;Mgat5;B4galt3
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	0.275434243176179	0.587487471342496	0.129442887745046	-0.473790118030698	-1.17269152663533	9	Cyb5r1;Cyb5r4;Cyb5rl;Car4;Slc4a1
REACTOME_CHYLOMICRON_ASSEMBLY	0.276029055690073	0.587487471342496	0.127505315300183	-0.500249591554141	-1.18796318697952	8	P4hb;Apoa2;Apoe;Sar1b
REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS	0.276223776223776	0.587487471342496	0.105520936843198	0.570213812717351	1.16523691231152	6	Ltc4s;Alox5;Alox5ap
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	0.278820375335121	0.589918606311581	0.134273452883202	-0.290439871692472	-1.10218826271511	44	Skp1;Rps27a;Psmd6;Ubb;Psmc5;Psma1;Psmb1;Uba52;Uba3;Psma4;Psmc4;Psmb7;Psmd7;Psmb6;Psma5;Ubc;Psmc2;Psmc6;Psmd14;Psma3;Psmd11;Psmc3;Psmd1;Psmb5;Psmd12;Psmd2;Psma6;Psmd8;Adrm1;Psmb3;Psmb4;Fbxw11
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION	0.27906976744186	0.589918606311581	0.12384217120105	-0.5555194385376	-1.17073723658714	6	Hbegf
REACTOME_RND2_GTPASE_CYCLE	0.279132791327913	0.589918606311581	0.135002033828631	-0.295047666419177	-1.09418212074477	41	Depdc1b;Vangl2;Nudc;Ankrd26;Vangl1;Ckap4;Plxnd1
REACTOME_PROGRAMMED_CELL_DEATH	0.279194630872483	0.589918606311581	0.0891647117820678	0.260463625861169	1.09269502787592	132	Birc3;Dsp;Bax;Tnfrsf10b;Bcl2l1;Apaf1;Cd14;Vim;H1f0;Casp4;Gsdmd;Mlkl;Dffb;Septin4;Mapk8;Casp7;Dsg3;Sptan1;Lmna;Pdcd6ip;Opa1;Fas;Pkp1;Tjp1;Satb1;Gsn;Hmgb2;Add1;Bcl2l11;Bcl2;Plec;Tjp2;Dsg2;Pmaip1;Birc2;Bmf;Casp8;Ripk1;Dnm1l
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.28009828009828	0.590860914390326	0.127505315300183	-0.393027899909382	-1.13383185698957	15	Rps27a;Ubb;Prkcz;Uba52;F11r;Tgfbr2;Pard6a;Ubc
REACTOME_LINOLEIC_ACID_LA_METABOLISM	0.280871670702179	0.591525818721881	0.126253987849115	-0.494218913220871	-1.17364188822506	8	Fads1;Elovl5;Fads2
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	0.281420765027322	0.591716950570477	0.135002033828631	-0.314111740011295	-1.10923588278718	33	Col1a2;Fyn;Ptpn6;Syk;Lyn;Pik3r6;Lat;Ptpn11;Pik3cg;Gp6
REACTOME_FOXO_MEDIATED_TRANSCRIPTION	0.283887468030691	0.595221306140161	0.129442887745046	-0.367379983035328	-1.14374187630566	20	Sfn;Foxo4;Akt2;Ywhag;Ywhaq
REACTOME_SPERM_MOTILITY_AND_TAXES	0.284009546539379	0.595221306140161	0.124434168630393	-0.522367829447892	-1.16168626737886	7	Kcnu1;Catsper3;Hvcn1;Catsper2
REACTOME_UCH_PROTEINASES	0.285714285714286	0.597823570270896	0.14551614609036	-0.256309035819202	-1.08907866531976	76	Uchl3;Ruvbl1;Uchl5;Senp8;Kdm1b;Nedd8;Rps27a;Psmd6;Ubb;Psmc5;Psma1;Psmb1;Uba52;Psma4;H2ac19;H2ac12;H2ac7;Psmc4;Foxk2;Psmb7;Psmd7
REACTOME_CELLULAR_HEXOSE_TRANSPORT	0.286189683860233	0.59784932340382	0.10027910675413	0.421772787237605	1.16078952234373	17	Slc2a9;Slc2a6;Mfsd4b4;Slc2a3;Slc5a4a
REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES	0.287015945330296	0.598192910649471	0.120433371642259	-0.588305718808482	-1.17464192931412	5	Gpx4;Alox8;Gpx1;Ptgs2
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	0.287598944591029	0.598192910649471	0.130777137971974	-0.342331907002868	-1.11733818377193	25	Prkce;Itpr3;Dgkd;Daglb;Dgkb;Mgll;Trpc6
REACTOME_BIOSYNTHESIS_OF_LIPOXINS_LX	0.287744227353464	0.598192910649471	0.103958471559957	0.606373370403559	1.18035388423141	5	Ltc4s;Alox5;Alox5ap
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA	0.28927680798005	0.600412152897499	0.126253987849115	-0.380415547813513	-1.12613769787125	17	Exosc6;Zfp36l1;Exosc3;Exosc4;Exosc5;Exosc7;Exosc1
