rank_position	gene	stat
320	Arpc1b	3.22848736375779
321	Nmb	3.22616543548595
322	Maea	3.22589397317424
323	Gale	3.22213452743893
324	Man1c1	3.22004731539722
325	Cdc34	3.21727418679786
326	Ccm2	3.21453856922413
327	Tnfrsf1a	3.21346509062074
328	Tatdn1	3.20696940735238
329	Psen2	3.20501855974289
330	Prss23	3.20126714434519
331	Ldlrap1	3.19586327927142
332	Psmd12	3.19109837520437
333	Gm13889	3.18623468537264
334	Tnfsf15	3.18393768305992
335	Nfkbie	3.18073694498481
336	Cstb	3.17810007131952
337	Tuba8	3.17750664173571
338	H2-Aa	3.17656430872999
339	G6pdx	3.17483229898541
340	Eif2s1	3.17124748069403
341	Prkx	3.17064838868667
342	Eif4a1	3.15867167750844
343	Sbno2	3.15065888184573
344	Rhbdf2	3.14865857588489
345	Psmd11	3.1479305765681
346	Alox5ap	3.14343220839508
347	Jaml	3.14192359503334
348	Rad23b	3.13311100260389
349	Lrmp	3.13225743598331
350	Rflnb	3.13049181538128
351	Bax	3.13024570613743
352	Upp1	3.12785783726736
353	Arpc4	3.1235504460675
354	P2rx5	3.11822243524521
355	Sars	3.11716267538815
356	Abtb2	3.11544471939227
357	Pkp2	3.11229180069775
358	Mmp3	3.11116527685261
359	Ptp4a1	3.11067114117602
360	Ppm1j	3.10787581240621
361	Nt5e	3.10699236888009
362	Smyd4	3.10655788439538
363	Myc	3.10508034255966
364	Ifitm3	3.10478858811787
365	Tpst2	3.10468610734269
366	Xaf1	3.1015277010103
367	Adamts1	3.10114128843746
368	Wsb1	3.10041587278304
369	Frmd8	3.09955941599538
370	Dlgap4	3.09918953347275
371	Tacstd2	3.09628625419714
372	Edn1	3.09296566656259
373	Cst6	3.08687038116378
374	Pvr	3.08495582181639
375	Mapk6	3.08346670969315
376	Cpa3	3.08248054763475
377	Lif	3.08224252454894
378	Pdlim1	3.08108782265689
379	Pitpna	3.08101019794392
380	Plac8	3.07219352149188
381	Pamr1	3.06991574488432
382	Drg1	3.06827537169065
383	Gm14403	3.06340410466683
384	Emilin1	3.06325197831521
385	Inafm2	3.05837637192806
386	Zbp1	3.05837600696732
387	Sox4	3.05353010272595
388	Cyth4	3.05330434117014
389	Babam2	3.05319361474421
390	Sap18b	3.05231360830843
391	Inhbb	3.050944031057
392	Csgalnact1	3.05073174711682
393	Tmem43	3.04874405113918
394	Rhbdf1	3.04672793428923
395	Ada	3.04388748501591
396	Spon2	3.03411167022581
397	Glp1r	3.033025868808
398	Aurkb	3.03292896173467
399	Ppp1r13l	3.02978839209635
400	Mthfd2	3.02555511768745
401	Fam180a	3.02547748987241
402	Map7d1	3.02371432442489
403	Akt1	3.01884650975096
404	Plvap	3.01700939335587
405	Btbd19	3.01205947682709
406	H2-Q4	3.01186406917875
407	Orai2	3.0095698246129
408	Lrrc32	3.00878164972427
409	Lmcd1	3.00128542687732
410	Cfdp1	3.00118735466845
411	Mpeg1	3.00115845173619
412	Gpm6b	2.99747871646569
413	Bex3	2.99713188848229
414	Ifi209	2.99692840207239
415	Fermt2	2.99268383925623
416	Snx4	2.99168422485954
417	Rmnd5b	2.98754013314019
418	Gnai2	2.98609659681067
419	Tnfaip8l1	2.98541344619849
420	Txnrd1	2.9853954092742
421	Slc7a1	2.98316140845879
422	Gp5	2.98251981879459
423	Fam214b	2.97758953961567
424	C1s2	2.97729512063676
425	Ncf1	2.97347079263901
426	Nme1	2.97285724136978
427	Cgn	2.97248913491507
428	P4ha3	2.96675564056059
429	Galnt1	2.96330765528179
430	Adamtsl2	2.96116436099195
431	Rpl36al	2.96076879215863
432	Zfp593	2.95633310165689
433	Map2k3	2.95605922139315
434	Rplp0	2.95585230527299
435	Eif1a	2.95421466347638
436	Dnajb5	2.95372417825228
437	Grap2	2.94991530626478
438	Tspo	2.94903698044353
439	Tdrkh	2.94812334254397
440	Vwa1	2.94344943903016
441	Gorasp2	2.93525417407228
442	Gars	2.9334254955388
443	Rnf11	2.93189199875314
444	Nrcam	2.93150695841485
445	Ankrd2	2.92769489387365
446	Ube2v1	2.92717797234419
447	Igtp	2.92691517690513
448	Bhlhe40	2.92673088102193
449	Anxa7	2.92481044777592
450	Nuf2	2.92440233100815
451	Taf10	2.92207842874721
452	Gnai1	2.92127836034152
453	Gbp2	2.91974099493093
454	Apln	2.91686995947615
455	Exoc5	2.91438350967114
456	Actr3	2.91218119488087
457	Irf1	2.90914113018247
458	Coq10b	2.90602829217387
459	Cd274	2.90564070458492
460	AI413582	2.90043329047803
461	Hcfc1r1	2.89876356703934
462	Fbxo6	2.88992297031545
463	Tceal3	2.88812394384282
464	Pdgfb	2.88753068520248
465	Gbp2b	2.8871792213361
466	Etf1	2.88210541486377
467	Lzts2	2.87974434257085
468	Ticam1	2.87903122335772
469	Slc39a1	2.87526760232414
470	Mall	2.87380358942873
471	Trim24	2.87353733456288
472	Pspc1	2.87293783355439
473	Cdh13	2.87007010848964
474	Snx1	2.86861679298831
475	Kctd10	2.86531372089574
476	Tapbp	2.86497483189621
477	Surf4	2.86299075846829
478	Sdcbp	2.86291940037055
479	Psme2	2.86065342896475
480	Flna	2.85840349847378
481	Il1rn	2.85678295110086
482	Cldn15	2.8550756535961
483	Hnrnpa3	2.85425071166875
484	Hp	2.85206762386847
485	Klra2	2.85203718616094
486	Gm42517	2.85036332116724
487	Uqcc2	2.84818086485732
488	Gdf5	2.84713591919156
489	Tmem65	2.84553170478571
490	Gpr153	2.84539189306164
491	Ifi30	2.84413360036416
492	Spaar	2.84150642340228
493	Lbh	2.83969684067743
494	Rcan1	2.83792395601758
495	C1qtnf6	2.83537009135875
496	Nfkb2	2.83325500404804
497	Ptprn	2.83319250138741
498	Ccr2	2.83313928181188
499	Rtl8b	2.83185699237383
500	Phlda3	2.8299455583394
501	Vopp1	2.82669089495635
502	S100a9	2.82531701404438
503	Obscn	2.82480556949481
504	Aida	2.82226378043816
505	Arf2	2.82124328019527
506	Cybb	2.81992929285197
507	Mrpl33	2.81951883599284
508	Ssr4	2.81806814261338
509	Psma1	2.81736455096237
510	Jpt2	2.8159876980135
511	Angptl1	2.81562755567205
512	Phf23	2.81473105596817
513	Jag2	2.8144224393639
514	Ube2s	2.81424238920127
515	Gpihbp1	2.81111936748015
516	Cdkn1a	2.81087141827645
517	Gm4750	2.81086823510339
518	Ifitm6	2.80800952054572
519	Mri1	2.80746143996913
520	Traf1	2.80588894459108
521	Hmga2	2.80575354645881
522	Gnb1	2.80511858073615
523	Gbp8	2.80244958992236
524	Tgtp1	2.80141639207758
525	Il11ra1	2.80076492927112
526	Tmed10	2.79834933190024
527	1810055G02Rik	2.79546964667711
528	Plekho2	2.79343034878763
529	Ifit3b	2.79278256072991
530	Ifitm2	2.79277563348978
531	Bloc1s2	2.7919794565088
532	Rela	2.79184067650169
533	Il1r1	2.79163836358351
534	Myrip	2.79089045771016
535	Ifi47	2.79060615585029
536	Avpi1	2.78990179392501
537	Cbarp	2.78971882930907
538	C1s1	2.78900811626369
539	Slfn8	2.78656381420161
540	Lamc1	2.78598885787409
541	Rapgef4	2.7824320946043
542	Mapkapk2	2.78121410858849
543	Nfkbia	2.77538340338416
544	Rasl10b	2.77509946899871
545	Gm34746	2.77413271263177
546	Zc2hc1a	2.77164444207022
547	Rnf115	2.76640501242677
548	H2-Q1	2.76626033103527
549	Capns1	2.76598803339525
550	Sdc2	2.76269805462346
551	Rras	2.76220964387627
552	Pgs1	2.76203099463951
553	Mmadhc	2.76136003987151
554	Cebpb	2.76100559063629
555	Psmb8	2.76028353810406
556	Gjc1	2.75962271208993
557	Acsl5	2.75177111482439
558	Ndfip2	2.75159117492001
559	H2-Q2	2.75023361440658
560	Tgfb1	2.74925205586728
561	Stbd1	2.74636166484047
562	Slfn1	2.74614739794417
563	Mvb12a	2.74547237861435
564	Pira1	2.74409070699409
565	Socs3	2.74387294134738
566	Lix1l	2.7431008495747
567	Nrip3	2.74283258967341
568	Plagl1	2.74280625860415
569	Mmp15	2.7412361667957
570	Ran	2.7392910139747
571	Aldoa	2.73860815633042
572	Snhg1	2.73599084195494
573	Dda1	2.73439287007535
574	Bcl6b	2.73232089449936
575	Pxdc1	2.73227949325044
576	Rasa3	2.73157027549267
577	Hs3st1	2.73063752003246
578	Pik3ap1	2.7285783114305
579	Abcb1a	2.72626568801111
580	Vmp1	2.72369756342321
581	Rftn1	2.72127841308218
582	Prmt1	2.71982398263212
583	Psmc2	2.71960358356444
584	Sf3b4	2.71791007582251
585	Unc13c	2.71598773057044
586	Arfgap3	2.71558687112888
587	Gm11127	2.71548867410204
588	Itga9	2.71264703681146
589	B4galt1	2.71010319002477
590	Prss35	2.7092312841412
591	Ehd2	2.7074456324744
592	Ehd1	2.70710025674904
593	Gbp3	2.70526551765054
594	Lrrc42	2.7043067703892
595	A730043L09Rik	2.70340442199379
596	Foxs1	2.70311470770751
597	Atf4	2.70301470163686
598	Tgif1	2.70277679644583
599	Shb	2.70063728059549
600	Thbd	2.70017860299185
601	Neu3	2.69840720663768
602	Zfp513	2.69665052193126
603	Enho	2.69658006039946
604	D5Ertd615e	2.69268112350327
605	Cxcl16	2.69075338577909
606	Thoc6	2.69000239071529
607	Dusp6	2.68748026705766
608	Ccl2	2.68729413796022
609	Psmd2	2.68673021220545
610	Alkbh2	2.68646173781802
611	Nkd1	2.68575960141433
612	Eid2	2.68480982805284
613	Tcim	2.68358644159293
614	Mkln1os	2.68232390174678
615	Wdr73	2.68094988243547
616	Rhbdl2	2.6797195616412
617	Eif6	2.67757799249639
618	Ms4a6c	2.67563026590258
