rank_position	gene	stat
638	Wsb1	3.82671901515624
639	Ppp1r11	3.82231190149163
640	Gem	3.82184004654043
641	Usp53	3.82177586566506
642	Apln	3.820400940174
643	Ifngr1	3.8197150026219
644	Sac3d1	3.81774705466186
645	S100a10	3.8102105123662
646	Whamm	3.80781237683434
647	Naa80	3.80704604028304
648	Lbh	3.80171400096062
649	Dlx3	3.79887585427837
650	Dusp8	3.79874222166865
651	Klf5	3.7979891803033
652	Cpped1	3.7953896874646
653	Zfp809	3.79092422823108
654	Atp6v1d	3.78710023664652
655	Mrpl45	3.78357540829992
656	Pvt1	3.78331356759404
657	Il33	3.78144591764116
658	Cstb	3.77678961326687
659	Ss18l2	3.77442488343395
660	Tap2	3.77389785705327
661	Calu	3.77283750120646
662	Clec1b	3.76589502749154
663	Arf2	3.76408058385597
664	Zmpste24	3.76346191507856
665	Zyx	3.75905428168078
666	Efemp1	3.7588419020787
667	Jpt2	3.75370935239716
668	Pfn1	3.75346434588936
669	Psmd13	3.75223445656957
670	D030068K23Rik	3.75006682432932
671	Pdyn	3.74687594716744
672	Hap1	3.74509198821372
673	Myh15	3.7445910101806
674	Fam214b	3.7410936238318
675	Clec1a	3.73686580089983
676	Kcnh1	3.73562440290486
677	Adrb2	3.73534146645526
678	Pik3r3	3.73334268853816
679	Rps19	3.73297657054564
680	Psma6	3.72870551789844
681	Sec14l2	3.72837086212926
682	Btg2	3.7275517752562
683	Gpr179	3.72361123324879
684	Dnm3	3.72339810138841
685	Slc25a24	3.72146386306456
686	Gm10825	3.71965079545899
687	Nog	3.71945216215257
688	Kpna2	3.71627039680644
689	Rusc2	3.71610169836077
690	Hcn4	3.71363439227356
691	Shb	3.71074361779166
692	Sowahd	3.70885764754567
693	Gadl1	3.70803174805366
694	Mgst1	3.70460000726993
695	Gtf2f2	3.70341862652682
696	Ccl2	3.70184532748098
697	Ugcg	3.7004157499723
698	Rasgrf1	3.69621261306493
699	Susd6	3.69334291256319
700	Ak1	3.6906742212767
701	Trp53	3.69028429005881
702	Gdpd5	3.68926765989353
703	Acsl4	3.68616896273913
704	Ndufs2	3.68474084752044
705	Pard3bos2	3.67970752349417
706	Gpr68	3.67871106215586
707	Pfkp	3.67772198452262
708	Plpp1	3.67676839637337
709	Pglyrp3	3.670809934187
710	D430041D05Rik	3.67065612172157
711	Spink8	3.66885736757814
712	Celf4	3.66769081036191
713	Fas	3.66739416137156
714	Slfn2	3.665690517899
715	Mylpf	3.66167119311909
716	Lmcd1	3.65790071022292
717	Slc35e4	3.6539070658084
718	Wnt2	3.65261519677439
719	Ogfr	3.65204994676632
720	Asb4	3.65156219181914
721	Tinagl1	3.65016372054906
722	F830016B08Rik	3.64645633055635
723	Lpin3	3.64635851234965
724	Slc20a2	3.64584077548084
725	Mphosph6	3.64275425083579
726	Rtn4rl1	3.64260546455246
727	Gm6729	3.63996973871068
728	Ryr1	3.63806526307748
729	Rag1	3.63705010767996
730	St7	3.63424616734265
731	Tacr3	3.63319901330449
732	A630001G21Rik	3.63239526037574
733	Cep170b	3.63201010950414
734	Lrig1	3.63189617890669
735	Sdc4	3.62692229642001
736	Masp1	3.62474136560816
737	Gm27252	3.62368502852198
738	Fads3	3.62321171125907
739	Dscam	3.62097364551633
740	Clic4	3.61866833233743
741	Eif2d	3.61255935215503
742	Nudt18	3.61044987984196
743	Rpl36al	3.60936901201962
744	Il1r1	3.6089838669609
745	Naa20	3.60421861143035
746	Gm51263	3.60385771681979
747	Dhh	3.59930033266371
748	Nr4a3	3.59729530481465
749	Plvap	3.59557882289941
750	Pld5	3.59499716363589
751	Crtac1	3.59256677551456
752	Snhg5	3.59171788251215
753	Zfp36l2	3.58983506852907
754	Basp1	3.58959012055991
755	Irf9	3.58689483523859
756	Egfem1	3.58649917649818
757	Gbp7	3.5850532854338
758	Arpc1b	3.58470240411108
759	Hfm1	3.583402935289
760	Riok1	3.58162412753268
761	Hyal2	3.58053274030861
762	Nyx	3.57673554632887
763	G6pdx	3.57643963942533
764	Neto2	3.57219075105285
765	Magee2	3.56993808264229
766	Hcrtr2	3.56961287614154
767	Arpc4	3.56259370872047
768	H2-T10	3.55835471734626
769	Leo1	3.55472333424275
770	Phldb1	3.55471455166654
771	Arsa	3.55184980007046
